n,time,ln(n)
100000,500,560.9640474
200000,459,660.9640474
300000,458,719.4602975
400000,542,760.9640474
500000,459,793.1568569
600000,750,819.4602975
700000,833,841.6995396
800000,583,860.9640474
900000,750,877.9565476
1000000,1042,893.1568569
1100000,708,906.9072093
1200000,583,919.4602975
1300000,791,931.0080193
1400000,792,941.6995396
1500000,1209,951.653107
1600000,750,960.9640474
1700000,958,969.7103316
1800000,1000,977.9565476
1900000,458,985.7567988
2000000,916,993.1568569
2100000,625,1000.19579
2200000,917,1006.907209
2300000,1000,1013.320243
2400000,1333,1019.460298
2500000,1375,1025.349666
2600000,1125,1031.008019
2700000,1375,1036.452798
2800000,1166,1041.69954
2900000,1292,1046.762147
3000000,1000,1051.653107
3100000,666,1056.383678
3200000,375,1060.964047
3300000,1208,1065.403459
3400000,1333,1069.710332
3500000,500,1073.892349
3600000,1209,1077.956548
3700000,1125,1081.909384
3800000,875,1085.756799
3900000,1000,1089.504269
4000000,1250,1093.156857
4100000,958,1096.719248
4200000,958,1100.19579
4300000,1292,1103.590523
4400000,1583,1106.907209
4500000,1542,1110.149357
4600000,1083,1113.320243
4700000,1083,1116.422933
4800000,1459,1119.460298
4900000,1333,1122.435032
5000000,1459,1125.349666
5100000,1208,1128.206582
5200000,1291,1131.008019
5300000,1250,1133.756093
5400000,1292,1136.452798
5500000,1000,1139.100019
5600000,1291,1141.69954
5700000,1167,1144.253049
5800000,1292,1146.762147
5900000,792,1149.228352
6000000,1334,1151.653107
6100000,875,1154.037781
6200000,1291,1156.383678
6300000,1208,1158.69204
6400000,1417,1160.964047
6500000,1583,1163.200829
6600000,1584,1165.403459
6700000,1417,1167.572966
6800000,1584,1169.710332
6900000,1500,1171.816493
7000000,1292,1173.892349
7100000,1041,1175.938759
7200000,1458,1177.956548
7300000,1000,1179.946503
7400000,1417,1181.909384
7500000,1208,1183.845916
7600000,1083,1185.756799
7700000,1250,1187.642702
7800000,1000,1189.504269
7900000,542,1191.342122
8000000,1750,1193.156857
8100000,1125,1194.949048
8200000,1500,1196.719248
8300000,1000,1198.467991
8400000,1416,1200.19579
8500000,1000,1201.903141
8600000,1625,1203.590523
8700000,833,1205.258397
8800000,1291,1206.907209
8900000,916,1208.537391
9000000,1500,1210.149357
9100000,1750,1211.743511
9200000,917,1213.320243
9300000,1334,1214.879929
9400000,1167,1216.422933
9500000,1208,1217.949608
9600000,1583,1219.460298
9700000,1417,1220.955332
9800000,1458,1222.435032
9900000,1875,1223.899709
10000000,1000,1225.349666
10100000,1375,1226.785196
10200000,1500,1228.206582
10300000,1667,1229.6141
10400000,1416,1231.008019
10500000,1083,1232.388599
10600000,1666,1233.756093
10700000,1667,1235.110746
10800000,1416,1236.452798
10900000,1416,1237.78248
11000000,1167,1239.100019
11100000,1917,1240.405634
11200000,334,1241.69954
11300000,1708,1242.981944
11400000,1542,1244.253049
11500000,1542,1245.513053
11600000,1708,1246.762147
11700000,1250,1248.000519
11800000,1541,1249.228352
11900000,791,1250.445824
12000000,1333,1251.653107
12100000,1000,1252.850371
12200000,1542,1254.037781
12300000,1250,1255.215498
12400000,1125,1256.383678
12500000,1291,1257.542476
12600000,1792,1258.69204
12700000,791,1259.832516
12800000,1292,1260.964047
12900000,1625,1262.086773
13000000,1417,1263.200829
13100000,1166,1264.306348
13200000,1417,1265.403459
13300000,1375,1266.492291
13400000,1500,1267.572966
13500000,1292,1268.645607
13600000,1250,1269.710332
13700000,1333,1270.767256
13800000,1125,1271.816493
13900000,750,1272.858155
14000000,1709,1273.892349
14100000,792,1274.919183
14200000,875,1275.938759
14300000,1500,1276.951181
14400000,1375,1277.956548
14500000,1417,1278.954956
14600000,875,1279.946503
14700000,1125,1280.931282
14800000,1209,1281.909384
14900000,958,1282.880899
15000000,917,1283.845916
15100000,709,1284.804521
15200000,1375,1285.756799
15300000,1667,1286.702832
15400000,708,1287.642702
15500000,1250,1288.576488
15600000,917,1289.504269
15700000,1250,1290.426122
15800000,1292,1291.342122
15900000,1417,1292.252343
