n,time,log
10000,709,194.5254855
20000,666,314.5254855
30000,500,384.7209856
40000,583,434.5254855
50000,584,473.1568569
60000,417,504.7209856
70000,500,531.4080762
80000,500,554.5254855
90000,375,574.9164857
100000,459,593.1568569
110000,500,609.6572798
120000,458,624.7209856
130000,416,638.5782517
140000,417,651.4080762
150000,375,663.352357
160000,375,674.5254855
170000,458,685.0210265
180000,500,694.9164857
190000,375,704.2767872
200000,375,713.1568569
210000,416,721.6035763
220000,458,729.6572798
230000,458,737.3529203
240000,459,744.7209856
250000,375,751.7882283
260000,416,758.5782517
270000,333,765.1119858
280000,500,771.4080762
290000,542,777.483205
300000,583,783.352357
310000,542,789.0290428
320000,500,794.5254855
330000,459,799.8527799
340000,416,805.0210265
350000,417,810.0394476
360000,542,814.9164857
370000,625,819.6598894
380000,625,824.2767872
390000,875,828.7737518
400000,458,833.1568569
410000,625,837.4317261
420000,666,841.6035763
430000,583,845.6772561
440000,500,849.6572798
450000,667,853.5478571
460000,750,857.3529203
470000,542,861.0761477
480000,666,864.7209856
490000,459,868.2906668
500000,583,871.7882283
510000,791,875.2165266
520000,541,878.5782517
530000,542,881.8759401
540000,584,885.1119858
550000,666,888.2886512
560000,1084,891.4080762
570000,792,894.4722872
580000,709,897.483205
590000,542,900.4426515
600000,542,903.352357
610000,1083,906.2139661
620000,791,909.0290428
630000,667,911.7990764
640000,709,914.5254855
650000,708,917.2096231
660000,792,919.8527799
670000,709,922.4561884
680000,708,925.0210265
690000,625,927.5484204
700000,750,930.0394476
710000,1792,932.4951399
720000,750,934.9164857
730000,958,937.3044326
740000,708,939.6598894
750000,542,941.9837284
760000,1000,944.2767872
770000,667,946.5398704
780000,833,948.7737518
790000,916,950.9791753
800000,542,953.1568569
810000,666,955.3074859
820000,583,957.4317261
830000,667,959.5302173
840000,875,961.6035763
850000,750,963.6523979
860000,750,965.6772561
870000,875,967.678705
880000,1083,969.6572798
890000,541,971.6134973
900000,959,973.5478571
910000,1125,975.4608424
920000,750,977.3529203
930000,792,979.2245429
940000,1083,981.0761477
950000,833,982.9081585
960000,625,984.7209856
970000,583,986.5150266
980000,750,988.2906668
990000,1334,990.04828
1000000,1041,991.7882283
1010000,417,993.5108635
1020000,958,995.2165266
1030000,1000,996.9055488
1040000,958,998.5782517
1050000,833,1000.234948
1060000,1209,1001.87594
1070000,958,1003.501524
1080000,917,1005.111986
1090000,708,1006.707605
1100000,958,1008.288651
1110000,750,1009.85539
1120000,1458,1011.408076
1130000,1000,1012.946961
1140000,917,1014.472287
1150000,625,1015.984292
1160000,917,1017.483205
1170000,792,1018.969252
1180000,1250,1020.442651
1190000,1125,1021.903617
1200000,959,1023.352357
1210000,1334,1024.789074
1220000,833,1026.213966
1230000,1041,1027.627226
1240000,959,1029.029043
1250000,708,1030.4196
1260000,959,1031.799076
1270000,875,1033.167648
1280000,709,1034.525486
1290000,875,1035.872756
1300000,959,1037.209623
1310000,584,1038.536246
1320000,750,1039.85278
1330000,958,1041.159378
1340000,833,1042.456188
1350000,625,1043.743357
1360000,875,1045.021026
1370000,708,1046.289336
1380000,1083,1047.54842
1390000,834,1048.798414
1400000,834,1050.039448
1410000,500,1051.271648
1420000,1666,1052.49514
1430000,834,1053.710046
1440000,1250,1054.916486
1450000,958,1056.114576
1460000,1042,1057.304433
1470000,1375,1058.486167
1480000,958,1059.659889
1490000,833,1060.825708
1500000,1666,1061.983728
1510000,959,1063.134054
1520000,959,1064.276787
1530000,1125,1065.412027
1540000,1333,1066.53987
1550000,1000,1067.660414
1560000,1000,1068.773752
1570000,1125,1069.879975
1580000,1000,1070.979175
1590000,1083,1072.07144
1600000,875,1073.156857
